FACIL,REC$TYPE,PROVINCE,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
11,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,Yes,Yes,Yes,No,Yes, ,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,Yes, ,19,0,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,50,35,1,69,69
12,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.727272727272727,5,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,11,0,13,13
13,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes, ,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No, ,2,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,5,5,0, , 
14,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,No,Yes,Yes,Yes,No,Yes, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes,Yes, ,12,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,26,26,1,10,10
15,A,52,5,4,Rural,No,758019,Health Center,Private/NGO,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No, ,No,No,No,No,No,No, ,No,No,.0909090909090909,1,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,4,5,0,7,7
16,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No,.272727272727273,3,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,9,6,0, , 
17,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes, ,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,Yes, ,23,4,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,100,60,1,174,174
18,A,52,5,Government/public,Urban,No,758019,Health Center,Public, ,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,Yes,Yes, ,5,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,5,7,0, , 
19,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,Yes,No,No,Yes,Yes, ,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.363636363636364,2,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,6,6,0, , 
20,A,52,5,4,Urban,No,758019,Health Center,Private/NGO,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,Yes,.272727272727273,14,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,12,21,0,38,38
21,A,52,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,Yes,.454545454545455,49,5,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,140,157,0,220,220
22,A,52,Health post,Government/public,Urban,No,116618,Hospital,Public,Yes,No,No,No,Yes,No,No,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,Yes, ,13,0,1,0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,16,19,0,53,53
23,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes, ,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No, ,29,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,52,52,0,172,172
24,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,No,No,No,Yes,Yes, ,Yes, ,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No, ,2,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No,2,5,0, , 
25,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,Yes,No, ,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.181818181818182,1,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,No,2,4,0, , 
26,A,52,Health hut,Government/public,Rural,No,174927,Health Center,Public,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.181818181818182,8,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,37,18,0,50,50
27,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No,.272727272727273,1,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,3,6,0, , 
28,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.636363636363636,12,1,1,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,19,31,1,83,83
29,A,52,Health hut,4,Rural,No,758019,Health Center,Private/NGO,No,No,No,No,No,No,Yes,No, ,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No, ,2,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,5,8,0,50,50
30,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,Yes,No,No,No,Yes,Yes,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No, ,No,No,No,No,No,No,Yes,No,No, ,1,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,1,4,0, , 
31,A,52,Health centre,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,No,No,.363636363636364,11,0,1,0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,42,28,1,115,115
32,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,Yes,No,No,No,No,Yes,No, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No, ,No,No,No,No,No,No,Yes,No,No, ,1,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,6,4,0, , 
33,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No, ,No,No,.363636363636364,3,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,9,7,0,22,22
34,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,No,No,No,Yes,No, ,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No, , , , ,No,No,No, ,No,No,.545454545454545,3,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,10,7,0,13,13
35,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,Yes, ,.636363636363636,20,2,0,0,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,57,47,1,91,91
36,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.454545454545455,1,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,Yes,7,10,0,54,54
37,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,No, ,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes, ,No, ,No,No,No,No,No,No,No,No,No,.181818181818182,0,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,No, ,6,0, , 
38,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.181818181818182,9,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,15,22,1,25,25
39,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,Yes,No, ,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No, ,No,No,.363636363636364,1,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,7,9,0,13,13
40,A,52,Health hut,Government/public,Rural,No,174927,Health Center,Public,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.363636363636364,1,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,4,8,0,20,20
41,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,Yes,No,.363636363636364,11,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No, ,Yes,50,22,1,120,120
42,A,71,Health hut,Government/public,Rural,No,233237,Health Center,Public,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,No, ,No,No,.636363636363636,19,0,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,9,24,1,998,998
43,A,71,5,Government/public,Rural,No,3133145,Health Center,Public,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.272727272727273,4,1,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,8,6,0,6,6
44,A,71,Health centre,Government/public,Urban,No,116618,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,No,No,.363636363636364,75,5,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No, ,Yes,39,90,0,94,94
45,A,71,Health centre,Government/public,Rural,No,116618,Hospital,Public,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes, ,Yes,No,.727272727272727,13,0,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,100,22,0,9998,9998
46,A,71,5,Government/public,Rural,No,3133145,Health Center,Public,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,No, ,No,No,.545454545454545,1,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,8,3,0,37,37
47,A,71,5,Private for profit,Urban,No,3133145,Health Center,Private/NGO,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, ,No,No,.272727272727273,4,0,1,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,No,No, ,Yes,12,7,0,23,23
48,A,71,5,Private for profit,Urban,No,3133145,Health Center,Private/NGO,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No, ,No,No,.181818181818182,3,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,Yes,No,Yes,7,5,0,7,7
49,A,71,5,Private for profit,Urban,No,3133145,Health Center,Private/NGO,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No, ,No,No,.727272727272727,5,0,2,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8,8,0,52,52
50,A,71,Health hut,Government/public,Urban,No,699710,Health Center,Public,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes, ,No, ,.545454545454545,94,7,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,7,115,0,9998,9998
51,A,71,5,Private for profit,Urban,No,3133145,Health Center,Private/NGO,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.454545454545455,3,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes,No, ,Yes,10,3,0,39,39
52,A,71,Health hut,Government/public,Rural,No,453516,Health Center,Public,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No, ,No,No,.454545454545455,4,0,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,11,5,0,26,26
53,A,71,Health centre,Private for profit,Rural,No,466473,Hospital,Private/NGO,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes, ,No, ,.545454545454545,24,0,4,6,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,64,43,0,101,101
54,A,71,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes, ,Yes,Yes,.727272727272727,20,2,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,68,52,0,340,340
55,A,71,5,Government/public,Rural,No,3133145,Health Center,Public,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,Yes,No,.454545454545455,2,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,6,0,20,20
56,A,71,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No, ,Yes,No,.545454545454545,22,0,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No, ,Yes,43,44,2,69,69
57,A,71,5,Private for profit,Urban,No,3133145,Health Center,Private/NGO,Yes,Yes,No,No,Yes,No,No,Yes, ,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No, ,Yes,No, ,12,1,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,25,22,0,32,32
58,A,71,Health centre,Government/public,Urban,No,116618,Hospital,Public,No,Yes, ,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes, ,No, ,.818181818181818,101,4,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,167,126,0,129,129
