FACIL,REC$TYPE,REGION,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,normdelivery,TBservice,NCDService,diagnostic,bloodtyping,transfusion,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
10011,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,249430,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes, , ,No, ,1,0, , 
10012,A,Barisal,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,132877,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes, ,Yes, ,.818181818181818,0,14,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,30,0,213,213
10013,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public, ,No,Yes,No,Yes,Yes,Yes,No,No, ,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No, , ,No, ,2,0, , 
10014,A,Barisal,Upzila Health Complex (UHC),Government/Public (MOHFW),Urban,No,132877,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,No,No,Yes,No,Yes, ,Yes, , ,0,8,2,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes, , ,Yes,42,25,0,312,312
10015,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.818181818181818,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,0,3,0, , 
10016,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),NGO,Rural,No,147703,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No, , ,No, ,2,0, , 
10017,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.454545454545455,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No, ,No, ,3,0, , 
10018,A,Barisal,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,132877,Hospital,Public,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes, ,Yes,Yes,.545454545454545,0,24,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, ,Yes,50,44,0,289,289
10019,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes, ,No,No,No,No,No,No,No,No,No,.636363636363636,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No, ,3,0, , 
10020,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,249430,Health Center/post,Public,Yes,No,Yes,No,No,No,No, , , ,No,No,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,1,0, , 
10021,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,No,Yes,.545454545454545,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No, ,No, ,3,0, , 
10022,A,Barisal,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,No,Yes,No,No,Yes,Yes,No,No, ,No,Yes,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,0,0, , 
10023,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes, , , , ,No,No,No, ,No,Yes,.636363636363636,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No, ,Yes,2,3,0,2,2
10024,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,No,Yes,.636363636363636,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,2,3,0,3,3
10025,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Urban,No,249430,Health Center/post,Public,Yes,No,No,Yes,Yes,No,No,No,No, ,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,1,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,2,0, , 
10026,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.818181818181818,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No, ,4,0, , 
10027,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.636363636363636,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No, ,2,0, , 
10028,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,249430,Health Center/post,Public,No,No,Yes,No,No,Yes,No,No,No, ,No,Yes,No,No,No,No,No,No,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,1,0, , 
10029,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,249430,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,No,Yes,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, , ,No, ,2,0, , 
10030,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,4,0, , 
10031,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,No,Yes,Yes,No,No, ,No,Yes,No,Yes,No,No,No,Yes,No,No, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No, , ,No, ,2,0, , 
10032,A,Barisal,Upzila Health Complex (UHC),Government/Public (MOHFW),Urban,No,132877,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes, ,Yes,Yes,.818181818181818,0,21,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,39,0,500,500
10033,A,Barisal,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,Yes,Yes,No,No,Yes,No,No,No, ,No,No,No,No,No,No,No,No,No,No, , , , ,No,No,No,No,No,No, ,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,0,0, , 
10034,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No,No,No,No,.181818181818182,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No, ,No, ,3,0, , 
10035,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,No,Yes,No, , , ,No,No,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No, , ,No, ,3,0, , 
10036,A,Barisal,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes, ,No,No,No,No,No,No, ,No,Yes,.363636363636364,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,Yes,10,5,0,1,1
10037,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,Yes, , , ,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes, ,No,No,No,No,No,No, ,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, , ,Yes,2,2,0,1,1
10038,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,No,No,.636363636363636,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,4,2,0,0,0
10039,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,249430,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,No, ,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No, , ,No, ,1,0, , 
10040,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,No,No,No,No,No, ,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, , ,No, ,4,0, , 
10041,A,Barisal,Upzila Health Complex (UHC),Government/Public (MOHFW),Rural,No,132877,Hospital,Public,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,Yes, ,Yes,Yes,.545454545454545,0,9,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No, ,Yes,50,24,0,219,219
10042,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No, ,Health Center/post,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10043,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes, , , , ,No,No,No,Yes,No,No,.727272727272727,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,0,2,0, , 
10044,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No, , , , ,No,No,No,No,No,No,.181818181818182,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No, ,No, ,1,0, , 
10045,A,Barisal,District Hospital (DH),Government/Public (MOHFW),Urban,No,76929,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.818181818181818,1,71,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,78,105,0,668,668
10046,A,Barisal,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,Yes, ,Yes,Yes,.818181818181818,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,0,10,0,22,22
10047,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No,.363636363636364,0,1,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,No,2,9,0, , 
10048,A,Barisal,Union Health and Family Welfare Center (UnHFWC - Upgraded),Government/Public (MOHFW),Rural,No,195819,Health Center/post,Public, ,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No, ,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No, ,No,0,6,0, , 
10049,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes, , ,No, ,4,0, , 
10050,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),Local Government,Urban,No,147703,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,Yes,.636363636363636,0,0,0,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No, ,No, ,12,0, , 
10051,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),Local Government,Urban,No,147703,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes, ,.636363636363636,0,0,0,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No, ,No, ,12,0, , 
10052,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),NGO,Urban,No,147703,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,.727272727272727,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No, ,No, ,4,1, , 
10053,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),Local Government,Urban,No,147703,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No,No,Yes,Yes,.909090909090909,0,0,0,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,12,0, , 
10054,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),NGO,Urban,No,147703,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,.727272727272727,0,0,0,1,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No, ,No, ,3,0, , 
10055,A,Barisal,NGO Clinic (other than Smiling Sun Clinics),NGO,Urban,No,147703,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,.727272727272727,0,0,0,0,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No, ,No, ,5,0, , 
10056,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,Yes,100008,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.727272727272727,1,13,1,1,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No, ,Yes,19,63,62,151,151
10057,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,No,100008,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.727272727272727,3,30,2,2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,32,98,97,975,975
10058,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,No, ,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10059,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,No,100008,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.636363636363636,20,51,13,12,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,120,198,60,961,961
10060,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,No,100008,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,18,17,1,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,20,44,42,134,134
10061,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,Yes, ,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10062,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,No,100008,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.727272727272727,1,4,0,2,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,20,14,4,109,109
10063,A,Barisal,Privtate Hospital (with >20 beds),Private for Profit,Urban,Yes,100008,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,No,.727272727272727,0,3,1,1,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,20,11,0,44,44
