FACIL,REC$TYPE,DEPART,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
15,A,Ouest,7,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No, , , , ,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No, ,0,3,2,3,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No, , ,No,3,10,3, , 
18,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.454545454545455,1,3,0,1,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No, ,5,1, , 
19,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,Yes,No, ,Yes,Yes,.545454545454545,10,6,0,1,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,No,No, ,Yes,7,17,10,3,3
23,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO, ,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,5,3,0,0,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No, ,Yes,No, ,No, ,12,5, , 
24,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO, ,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,No, ,20,18,6,7,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,24,57,1,80,80
26,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No, ,Yes,Yes,.363636363636364,2,5,1,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,12,9,0,4,4
28,A,Ouest,Hospital,Government/public,Urban,No,996044,Hospital,Public,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.454545454545455,127,186,6,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,652,381,0,7007,7007
29,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes, ,No,No,Yes,Yes,Yes, ,Yes,Yes,.636363636363636,52,33,7,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No, ,No,Yes,No,Yes,30,97,0,259,259
30,A,Ouest,6,Government/public,Urban,No,996044,Health Center/post,Public,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No, ,No,Yes,No,No,No,No,No,Yes,No,.636363636363636,11,21,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, ,40,0, , 
31,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,No,No,Yes,Yes, , , , ,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,1,3,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No, ,Yes,No,No, , ,No, ,4,1, , 
33,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes, ,Yes,Yes,.545454545454545,31,46,6,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,40,104,31,30,30
34,A,Ouest,Health hut,Government/public,Urban,No,996044,Hospital,Public,No,Yes,No,No,No,Yes,No,No,No, ,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No, ,No, , ,12,37,1,6,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes, , ,Yes,60,63,0,25,25
35,A,Ouest,Health hut,NGO/ Private not for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.272727272727273,21,10,4,3,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,30,40,21,19,19
36,A,Ouest,6,Government/public,Urban,No,996044,Health Center/post,Public, ,Yes,Yes,No,Yes,No, ,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,2,2,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No, ,Yes,No, ,No, ,4,0, , 
37,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No, ,Yes,.636363636363636,2,4,1,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,No, ,12,1, , 
38,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO, ,No,Yes,No,Yes,No,Yes,No,No, ,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,No,No,No,No,No,No,Yes,No, ,1,5,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No, ,No, , ,No, ,15,1, , 
39,A,Ouest,6,NGO/ Private not for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes, ,Yes,Yes,.636363636363636,15,25,2,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,30,57,0,0,0
41,A,Ouest,Health hut,Private for profit,Urban,Yes,996044,Hospital,Private/NGO,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No, , , , ,No,No,No, ,Yes,Yes,.181818181818182,2,24,1,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No, ,No,No, ,Yes,24,27,0,20,20
42,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes, ,No,Yes,No,Yes,Yes,Yes, ,Yes,No,.636363636363636,25,8,0,1,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,Yes,No,Yes,13,35,24,9998,9998
43,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO, ,Yes,Yes,No,Yes,No,No, , , ,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,1,2,1,1,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No, ,Yes, , ,No, ,7,1, , 
44,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,Yes,Yes, ,Yes,No,.454545454545455,11,5,1,1,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,10,18,7,62,62
45,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No, , ,No,No,No,No,No,No,No,No,.181818181818182,2,2,1,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,No, ,5,2, , 
46,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO, ,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No,No, ,No, ,9,8,6,7,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,No, ,31,0, , 
47,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Yes,Yes,.636363636363636,20,17,3,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,9,46,0,42,42
48,A,Ouest,Health hut,NGO/ Private not for profit,Urban,No,996044,Hospital,Private/NGO,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes, ,Yes,No,.363636363636364,4,10,1,4,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,25,21,0,0,0
49,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO, ,No,Yes,Yes,Yes,No,No, , , ,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No, ,2,4,2,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No, , ,No, ,10,0, , 
50,A,Ouest,6,Government/public,Urban,No,996044,Health Center/post,Public,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,No,No,.363636363636364,6,13,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No, ,No, ,51,0, , 
51,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,.636363636363636,2,5,1,2,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No, ,No, ,14,0, , 
53,A,Ouest,5,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,Yes,No,No,No,.454545454545455,2,1,0,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,No, ,5,1, , 
54,A,Ouest,6,4,Rural,No,996044,Health Center/post,Private/NGO,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,Yes,No,No,.272727272727273,0,2,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,No,No, ,No,2,2,0, , 
55,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,Yes,Yes,No,0,2,6,1,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,No,3,13,1, , 
56,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,No,.545454545454545,2,5,2,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No, ,No,No, ,No, ,15,0, , 
58,A,Ouest,Health hut,Private for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No, ,Yes,Yes,.181818181818182,1,4,1,2,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,8,9,9,16,16
60,A,Ouest,Health hut,NGO/ Private not for profit,Urban,No,996044,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes, ,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Yes,Yes,Yes,Yes,Yes,Yes,.818181818181818,10,57,4,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,13,107,0, , 
61,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,No,0,2,7,1,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,No, ,13,2, , 
62,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,No, , , ,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,No,No,No,No,No,Yes,Yes,No, ,0,4,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No, , ,No,1,11,0, , 
64,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,No,No,Yes,No,Yes, , , ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No, ,1,1,0,1,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No, ,No, , ,No, ,3,1, , 
65,A,Ouest,6,Government/public,Urban,No,996044,Health Center/post,Public,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes, ,Yes,Yes,No,No,No,No,No,No,No,.0909090909090909,2,5,3,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No, ,No,No, ,No, ,42,2, , 
66,A,Ouest,5,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No,.818181818181818,6,10,0,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,No, ,19,2, , 
67,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO, ,Yes,No,Yes,Yes,Yes, ,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,Yes,Yes,Yes,Yes,Yes,Yes, ,5,4,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No, ,Yes,Yes,Yes,No,4,23,5, , 
68,A,Ouest,Health hut,NGO/ Private not for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.909090909090909,19,86,5,6,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,119,4,48,48
69,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO, ,Yes,Yes,No,Yes,No,No, , , ,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,Yes,Yes, ,2,2,2,2,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No, , ,No,2,10,0, , 
70,A,Ouest,Health hut,NGO/ Private not for profit,Urban,No,996044,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No, , , , ,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,Yes,Yes,No,Yes,Yes, ,2,5,0,0,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No, ,No, , ,No, ,7,0, , 
71,A,Ouest,Health hut,Government/public,Urban,No,996044,Hospital,Public, ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes, ,No, , ,11,34,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,No,No, ,Yes,97,55,0,44,44
72,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,Yes,.363636363636364,1,1,1,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,No, ,6,1, , 
73,A,Ouest,5,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,Yes,No,No,Yes,No,No,No, ,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No, ,2,4,1,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,No, ,10,3, , 
74,A,Ouest,5,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,Yes,Yes,No,Yes, ,.454545454545455,1,5,2,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No, ,No,No, ,No, ,10,0, , 
75,A,Ouest,6,Government/public,Urban,No,996044,Health Center/post,Public, ,No,No,No,Yes,No, ,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,Yes,No,No,No,No,Yes, ,1,3,1,0,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No, ,No,No, ,No, ,5,0, , 
