FACIL,REC$TYPE,REGION,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,normdelivery,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
60011,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.818181818181818,10,11,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,No,No, ,No,40,21,0, , 
60012,A,Dakar,Hospital,Private for profit,Urban,No,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60013,A,Dakar,Hospital,Private for profit,Urban,No,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60014,A,Dakar,Hospital,Government/public,Urban,No,260144,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes, ,Yes,Yes,.727272727272727,20,26,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,No,No, ,Yes,60,135,0,1624,1624
60015,A,Dakar,Hospital,Government/public,Urban,No,260144,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,1,31,71,2,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No,No,Yes,Yes,Yes,92,164,11,703,703
60016,A,Dakar,Hospital,Government/public,Urban,No,260144,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes, ,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.818181818181818,9,19,1,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No, ,Yes,No, ,Yes,12,108,7,33,33
60017,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.818181818181818,3,8,0,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,30,25,34,27,27
60018,A,Diourbel,Hospital,Government/public,Urban,No,487770,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.727272727272727,9,17,1,3,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,22,54,5,998,998
60019,A,Diourbel,Hospital,Private for profit,Urban,No,325180,Hospital,Private/NGO,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes, ,.636363636363636,3,2,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No,No, ,Yes,3,9,3,26,26
60020,A,Fatick,Hospital,Government/public,Urban,No,162590,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.909090909090909,9,28,1,6,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,Yes,Yes,Yes,20,86,1,9998,9998
60021,A,Kaffrine,Hospital,Government/public,Urban,No,162590,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,3,0,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,6,6,1,0,0
60022,A,Kaokack,Hospital,Private for profit,Urban,No,569065,Hospital,Private/NGO,Yes,No,Yes,No,Yes,No, ,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,Yes,No,Yes, ,No,No,.636363636363636,1,2,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No, ,No, ,No,No, ,Yes,8,5,0,13,13
60023,A,Kaokack,Hospital,Private for profit,Urban,No,569065,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.636363636363636,2,4,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,Yes,7,12,0,23,23
60024,A,Kedougou,Hospital,NGO/ Private not for profit,Urban,No,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60025,A,Kolda,Hospital,Private for profit,Urban,No,162590,Hospital,Private/NGO,Yes,No,Yes,No,Yes,Yes,No, , , ,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, ,Yes,No,No,No,No,Yes,Yes,No, ,1,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No, , ,No,3,4,0, , 
60026,A,Louga,Hospital,Government/public,Urban,No,487770,Hospital,Public,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.636363636363636,9,15,2,4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,No, ,Yes,39,58,0,180,180
60027,A,Matam,Hospital,Government/public,Urban,No,162590,Hospital,Public,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,14,22,1,6,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,103,79,0,9998,9998
60028,A,Saint Louis,Hospital,Government/public,Urban,No,162590,Hospital,Public,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.545454545454545,11,23,1,4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,998,74,3,9998,9998
60029,A,Sediou,Hospital,Government/public,Urban,No,162590,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.727272727272727,5,16,1,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,22,50,0,41,41
60030,A,Tambacounda,Hospital,Government/public,Urban,Yes,162590,Hospital,Public,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.818181818181818,16,39,4,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,1,144,0,9998,9998
60031,A,Thies,Hospital,Private for profit,Urban,No,1300719,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes, ,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,.636363636363636,2,8,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,No, ,Yes,50,26,12,9998,9998
60032,A,Thies,Hospital,Government/public,Urban,No,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60033,A,Thies,Hospital,Private for profit,Urban,No,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60034,A,Thies,Hospital,Private for profit,Urban,Yes,0,Hospital,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60035,A,Thies,Hospital,Government/public,Urban,No,487770,Hospital,Public,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes, ,Yes,Yes,.727272727272727,18,38,2,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,2,107,0,9998,9998
60036,A,Ziguinchor,Hospital,Government/public,Urban,No,325180,Hospital,Public,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,1,0,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No,No, ,Yes,24,1,0,51,51
60037,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes, , , , ,Yes,No,No, ,Yes,Yes,.454545454545455,1,16,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,97,11,10,10
60038,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No, ,Yes,No,.545454545454545,2,9,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,9,24,0,4,4
60039,A,Dakar,Health centre,NGO/ Private not for profit,Urban,No,467446,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,.545454545454545,3,15,0,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,Yes,No, ,Yes,11,32,4,82,82
60040,A,Dakar,Health centre,Private for profit,Urban,No,467446,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes, , ,Yes,No,No,Yes,No,Yes,Yes,Yes,.181818181818182,1,4,0,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No,2,5,6, , 
60041,A,Dakar,Health centre,Private for profit,Urban,No,467446,Health Center/post,Private/NGO,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No, ,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,.454545454545455,5,1,0,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No, ,No, ,No,No, ,No,10,6,0, , 
60042,A,Dakar,Health centre,Private for profit,Urban,No,0,Health Center/post,Private/NGO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60043,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes, ,Yes,Yes,.363636363636364,19,36,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,19,101,21,30,30
60044,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,4,18,0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,No, ,Yes,15,46,7,4,4
60045,A,Dakar,Health centre,Government/public,Urban,No,467446,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,.727272727272727,4,6,0,1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,No,10,28,2, , 
60046,A,Dakar,Health centre,Government/public,Urban,No,467446,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,No,No, ,Yes,Yes,.727272727272727,3,8,0,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No, ,No,No, ,Yes,20,33,4,18,18
60047,A,Dakar,Health centre,Private for profit,Urban,No,467446,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.727272727272727,1,12,0,2,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No,No, ,No,10,20,0, , 
60048,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,Yes, ,Yes,Yes,.727272727272727,3,20,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,15,40,6,19,19
60049,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,2,5,0,5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,17,28,2,9,9
60050,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.818181818181818,5,10,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,Yes,Yes,21,58,8,23,23
60051,A,Dakar,Health centre,Government/public,Urban,No,467446,Health Center/post,Public,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,No,No,Yes,Yes,No,.454545454545455,4,6,0,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,No,4,23,0, , 
60052,A,Dakar,Health centre,Government/public,Urban,No,467446,Health Center/post,Public,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , ,Yes,No,No,No,No,Yes,No,Yes,.454545454545455,0,6,0,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No,3,10,0, , 
60053,A,Dakar,Health centre,Government/public,Urban,No,365827,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,3,67,1,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,Yes,No, ,Yes,23,229,11,72,72
60054,A,Diourbel,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.727272727272727,3,12,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,12,37,0,14,14
60055,A,Diourbel,Health centre,Government/public,Urban,No,325180,Health Center/post,Public,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.545454545454545,6,11,0,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,28,34,0,25,25
60056,A,Fatick,Health centre,Government/public,Urban,No,0,Health Center/post,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
